run_id,trade_index,source,ticket,module,type,open,close,lots,openPrice,closePrice,pl,equity,return_pct,peak_return_pct,dyn_peak_pct,campaign_score,checkpoint_hit,state
b6ef72ca3f93,1,all_closed,1,MOMENTUM,BUY,2026.01.05 18:00,2026.01.08 07:44,0.29,4448.65,4415.80,-800.57,69199.43,-1.14,1.51,1.51,1,false,ACTIVE_CHALLENGE
b6ef72ca3f93,2,all_closed,2,PULLBACK,BUY,2026.01.12 15:00,2026.01.16 17:31,0.29,4590.60,4558.83,-797.77,68401.66,-2.28,1.51,1.51,3,false,ACTIVE_CHALLENGE
b6ef72ca3f93,3,all_closed,3,PULLBACK,BUY,2026.01.19 12:00,2026.01.20 10:59,0.29,4668.57,4731.37,1314.14,69715.81,-0.41,1.51,1.51,5,false,ACTIVE_CHALLENGE
b6ef72ca3f93,4,all_closed,4,MOMENTUM,BUY,2026.01.20 11:00,2026.01.21 01:44,0.38,4729.46,4773.62,1202.48,70918.28,1.31,1.51,1.51,5,false,ACTIVE_CHALLENGE
b6ef72ca3f93,5,all_closed,5,PULLBACK,BUY,2026.01.22 13:00,2026.01.22 20:01,0.24,4829.19,4907.60,1378.93,72297.21,3.28,3.28,3.28,5,false,ACTIVE_CHALLENGE
b6ef72ca3f93,6,all_closed,6,MOMENTUM,BUY,2026.01.22 20:05,2026.01.23 18:25,0.23,4908.63,4982.66,1231.62,73528.84,5.04,5.04,5.04,5,true,PROTECTING_PROFIT
b6ef72ca3f93,7,all_closed,7,PULLBACK,BUY,2026.01.23 18:30,2026.01.26 02:41,0.30,4985.55,5051.85,1436.36,74965.20,7.09,7.09,7.09,5,true,PROTECTING_PROFIT
b6ef72ca3f93,8,all_closed,8,PULLBACK,BUY,2026.01.26 17:00,2026.01.26 21:02,0.24,5096.34,5054.02,-746.15,74219.05,6.03,7.31,7.31,4,true,PROTECTING_PROFIT
b6ef72ca3f93,9,all_closed,9,PULLBACK,BUY,2026.01.27 12:00,2026.01.28 03:41,0.18,5098.70,5208.92,1441.59,75660.64,8.09,8.09,8.09,4,true,PROTECTING_PROFIT
b6ef72ca3f93,10,all_closed,10,MOMENTUM,BUY,2026.01.28 10:00,2026.01.28 23:48,0.17,5290.63,5396.65,1320.90,76981.54,9.97,9.97,9.97,4,true,PROTECTING_PROFIT
