run_id,trade_index,source,ticket,module,type,open,close,lots,openPrice,closePrice,pl,equity,return_pct,peak_return_pct,dyn_peak_pct,campaign_score,state
9933c0762838,1,closed,3,MOMENTUM,SELL,2024.02.13 17:00,2024.02.15 16:30,1.00,1995.75,2005.67,-745.34,72069.16,2.96,5.22,5.22,3,PROTECTING_PROFIT
9933c0762838,2,closed,4,PULLBACK,BUY,2024.03.04 12:00,2024.03.04 16:16,2.17,2085.40,2094.46,1437.21,73506.37,5.01,5.22,5.22,5,PROTECTING_PROFIT
9933c0762838,3,closed,5,MOMENTUM,BUY,2024.03.04 16:20,2024.03.04 17:58,1.41,2095.63,2108.36,1313.35,74819.72,6.89,6.89,6.89,5,PROTECTING_PROFIT
9933c0762838,4,closed,6,MOMENTUM,BUY,2024.03.05 12:00,2024.03.05 15:34,1.24,2124.57,2139.36,1342.31,76162.03,8.80,8.80,8.80,4,PROTECTING_PROFIT
9933c0762838,5,closed,7,PULLBACK,BUY,2024.03.05 19:00,2024.03.06 16:32,0.93,2128.48,2141.75,838.53,77000.57,10.00,10.00,10.00,4,TARGET_HIT
59211ed72bcb,1,closed,3,MOMENTUM,BUY,2024.03.05 12:00,2024.03.05 15:34,1.20,2124.57,2139.36,1299.00,73965.94,5.67,5.67,5.67,4,PROTECTING_PROFIT
59211ed72bcb,2,closed,4,PULLBACK,BUY,2024.03.05 19:00,2024.03.06 20:29,0.90,2128.48,2150.70,1402.23,75368.17,7.67,7.67,7.67,5,PROTECTING_PROFIT
59211ed72bcb,3,closed,5,PULLBACK,BUY,2024.03.07 12:00,2024.03.07 16:41,1.21,2157.90,2149.47,-750.76,74617.41,6.60,8.53,8.53,4,PROTECTING_PROFIT
59211ed72bcb,4,closed,6,MOMENTUM,BUY,2024.03.08 16:00,2024.03.08 19:17,0.84,2171.34,2193.08,1337.42,75954.83,8.51,8.53,8.53,4,PROTECTING_PROFIT
59211ed72bcb,5,closed,7,PULLBACK,BUY,2024.03.11 10:00,2024.03.12 08:50,1.18,2182.48,2173.74,-840.86,75113.97,7.31,8.91,8.91,4,PROTECTING_PROFIT
59211ed72bcb,6,closed,8,PULLBACK,BUY,2024.03.13 17:00,2024.03.14 14:30,1.66,2169.00,2162.84,-1099.11,74014.85,5.74,9.19,9.19,1,PROTECTING_PROFIT
59211ed72bcb,7,closed,9,PULLBACK,BUY,2024.03.15 12:00,2024.03.15 13:07,2.15,2172.00,2167.33,-741.15,73273.70,4.68,9.19,9.19,4,PROTECTING_PROFIT
59211ed72bcb,8,closed,10,MOMENTUM,BUY,2024.04.03 20:00,2024.04.04 15:02,0.68,2293.95,2287.30,-474.76,72798.95,4.00,9.19,9.19,4,FAILED_STANDDOWN
26064aa40017,1,trace,3,MOMENTUM,BUY,2024.03.05 12:00,2024.03.05 15:34,1.20,2124.57,2139.36,1299.00,73965.94,5.67,5.67,5.67,4,PROTECTING_PROFIT
26064aa40017,2,trace,4,PULLBACK,BUY,2024.03.05 19:00,2024.03.06 20:29,0.90,2128.48,2150.70,1402.23,75368.17,7.67,7.67,7.67,5,PROTECTING_PROFIT
26064aa40017,3,trace,5,PULLBACK,BUY,2024.03.07 12:00,2024.03.07 16:41,1.21,2157.90,2149.47,-750.76,74617.41,6.60,8.53,8.53,4,PROTECTING_PROFIT
26064aa40017,4,trace,6,MOMENTUM,BUY,2024.03.08 16:00,2024.03.08 19:17,0.84,2171.34,2193.08,1337.42,75954.83,8.51,8.53,8.53,4,PROTECTING_PROFIT
26064aa40017,5,trace,7,PULLBACK,BUY,2024.03.11 10:00,2024.03.12 08:50,1.18,2182.48,2173.74,-840.86,75113.97,7.31,8.91,8.91,4,PROTECTING_PROFIT
26064aa40017,6,trace,8,PULLBACK,BUY,2024.03.13 17:00,2024.03.14 14:30,1.66,2169.00,2162.84,-1099.11,74014.85,5.74,9.19,9.19,1,PROTECTING_PROFIT
26064aa40017,7,trace,9,PULLBACK,BUY,2024.03.15 12:00,2024.03.15 13:07,2.15,2172.00,2167.33,-741.15,73273.70,4.68,9.19,9.19,4,PROTECTING_PROFIT
26064aa40017,8,trace,10,MOMENTUM,BUY,2024.04.03 20:00,2024.04.04 15:02,0.68,2293.95,2287.30,-474.76,72798.95,4.00,9.19,9.19,4,FAILED_STANDDOWN
4fda0bd84fb8,1,trace,6,MOMENTUM,BUY,2024.03.05 12:00,2024.03.05 15:34,1.20,2124.57,2139.36,1299.00,73923.80,5.61,5.61,5.61,4,PROTECTING_PROFIT
4fda0bd84fb8,2,trace,7,PULLBACK,BUY,2024.03.05 19:00,2024.03.06 20:29,0.90,2128.48,2150.70,1402.23,75326.02,7.61,7.61,7.61,5,PROTECTING_PROFIT
4fda0bd84fb8,3,trace,8,PULLBACK,BUY,2024.03.07 12:00,2024.03.07 16:41,1.21,2157.90,2149.47,-750.76,74575.26,6.54,8.47,8.47,4,PROTECTING_PROFIT
4fda0bd84fb8,4,trace,9,MOMENTUM,BUY,2024.03.08 16:00,2024.03.08 19:17,0.84,2171.34,2193.08,1337.42,75912.68,8.45,8.47,8.47,4,PROTECTING_PROFIT
4fda0bd84fb8,5,trace,10,PULLBACK,BUY,2024.03.11 10:00,2024.03.12 08:50,1.18,2182.48,2173.74,-840.86,75071.82,7.25,8.85,8.85,4,PROTECTING_PROFIT
4fda0bd84fb8,6,trace,11,PULLBACK,BUY,2024.03.13 17:00,2024.03.14 14:30,1.66,2169.00,2162.84,-1099.11,73972.71,5.68,9.13,9.13,1,PROTECTING_PROFIT
4fda0bd84fb8,7,trace,12,MOMENTUM,BUY,2024.04.03 20:00,2024.04.05 04:06,0.69,2293.95,2279.34,-932.42,73040.30,4.34,9.13,9.13,2,PROTECTING_PROFIT
4fda0bd84fb8,8,trace,13,MOMENTUM,BUY,2024.04.05 19:00,2024.04.08 01:18,0.13,2326.39,2307.30,-191.34,72848.96,4.07,9.13,9.13,5,PROTECTING_PROFIT
4fda0bd84fb8,9,trace,14,MOMENTUM,BUY,2024.04.09 12:00,2024.04.09 13:28,0.98,2357.84,2357.16,-51.24,72797.72,4.00,9.13,9.13,4,FAILED_STANDDOWN
052df6a3f80d,1,trace,9,PULLBACK,BUY,2025.01.23 19:00,2025.01.24 05:01,0.92,2754.26,2775.53,1368.71,73844.63,5.49,5.49,5.49,4,PROTECTING_PROFIT
052df6a3f80d,2,trace,10,PULLBACK,BUY,2025.01.24 11:00,2025.01.27 01:00,1.28,2773.40,2765.54,-830.29,73014.35,4.31,7.17,7.17,3,PROTECTING_PROFIT
052df6a3f80d,3,trace,11,PULLBACK,BUY,2025.01.27 12:00,2025.01.27 15:43,0.24,2763.31,2752.96,-182.85,72831.50,4.04,7.17,7.17,2,PROTECTING_PROFIT
9d86e9c76dfb,1,trace,5,PULLBACK,BUY,2024.08.13 10:00,2024.08.14 16:20,1.15,2463.32,2454.65,-813.92,72477.30,3.54,6.56,6.56,5,PROTECTING_PROFIT
9d86e9c76dfb,2,trace,6,PULLBACK,BUY,2024.08.15 10:00,2024.08.15 15:26,1.44,2456.07,2469.79,1445.32,73922.62,5.60,6.56,6.56,4,PROTECTING_PROFIT
9d86e9c76dfb,3,trace,7,PULLBACK,BUY,2024.08.15 15:30,2024.08.15 15:30,1.69,2466.71,2460.76,-741.74,73180.88,4.54,6.56,6.56,4,PROTECTING_PROFIT
9d86e9c76dfb,4,trace,8,PULLBACK,BUY,2024.08.16 11:00,2024.08.16 15:32,1.44,2462.05,2475.83,1451.64,74632.52,6.62,6.62,6.62,5,PROTECTING_PROFIT
9d86e9c76dfb,5,trace,9,MOMENTUM,BUY,2024.08.16 15:35,2024.08.16 16:39,1.09,2476.28,2492.94,1329.02,75961.54,8.52,8.52,8.52,5,PROTECTING_PROFIT
9d86e9c76dfb,6,trace,10,PULLBACK,BUY,2024.08.16 19:35,2024.08.20 11:01,0.79,2496.40,2516.26,1039.02,77000.57,10.00,10.00,10.00,4,TARGET_HIT
7b83c50e6fd5,1,trace,5,MOMENTUM,BUY,2025.09.08 16:15,2025.09.09 16:34,0.54,3630.89,3663.68,1259.12,74526.39,6.47,6.47,6.47,4,PROTECTING_PROFIT
7b83c50e6fd5,2,trace,6,PULLBACK,BUY,2025.09.10 13:00,2025.09.10 15:52,0.73,3655.21,3641.44,-739.95,73786.44,5.41,6.64,6.64,4,PROTECTING_PROFIT
7b83c50e6fd5,3,trace,7,PULLBACK,BUY,2025.09.10 17:00,2025.09.10 22:33,0.18,3651.41,3637.46,-184.82,73601.62,5.15,6.64,6.64,3,PROTECTING_PROFIT
7b83c50e6fd5,4,trace,8,PULLBACK,BUY,2025.09.11 19:00,2025.09.15 18:44,0.56,3633.24,3668.95,1386.82,74988.44,7.13,7.13,7.13,5,PROTECTING_PROFIT
7b83c50e6fd5,5,trace,9,PULLBACK,BUY,2025.09.15 18:45,2025.09.16 11:15,0.73,3668.61,3696.44,1436.56,76425.00,9.18,9.18,9.18,5,PROTECTING_PROFIT
7b83c50e6fd5,6,trace,10,MOMENTUM,BUY,2025.09.16 12:00,2025.09.16 18:33,0.71,3694.41,3679.82,-762.40,75662.60,8.09,9.82,9.82,5,PROTECTING_PROFIT
7b83c50e6fd5,7,trace,11,PULLBACK,BUY,2025.09.16 20:00,2025.09.17 05:38,0.18,3689.93,3675.62,-202.08,75460.53,7.80,9.82,9.82,3,PROTECTING_PROFIT
7b83c50e6fd5,8,trace,12,MOMENTUM,BUY,2025.09.22 12:00,2025.09.23 03:46,0.60,3720.61,3751.08,1296.87,76757.39,9.65,9.82,9.82,5,PROTECTING_PROFIT
7b83c50e6fd5,9,trace,13,MOMENTUM,BUY,2025.09.23 12:00,2025.09.23 12:09,0.54,3774.39,3780.69,247.41,77004.80,10.01,10.01,10.01,5,TARGET_HIT
9ca2c66c584c,1,trace,5,PULLBACK,BUY,2020.04.14 11:00,2020.04.14 17:25,0.85,1722.74,1745.70,1429.78,73823.95,5.46,5.46,5.46,5,PROTECTING_PROFIT
9ca2c66c584c,2,trace,6,MOMENTUM,BUY,2020.04.14 17:30,2020.04.14 18:11,0.61,1742.66,1726.35,-730.75,73093.20,4.42,5.73,5.73,5,PROTECTING_PROFIT
9ca2c66c584c,3,trace,7,MOMENTUM,BUY,2020.04.23 18:00,2020.04.23 20:22,0.70,1734.87,1720.70,-728.70,72364.50,3.38,5.73,5.73,5,PROTECTING_PROFIT
