date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2021-10-13,CPI,2021-10-13T12:30:00,3.8,CROWDED_SHORT,2.294,1,3.301,1,1.582
2021-11-03,FOMC,2021-11-03T18:00:00,9.6,CROWDED_SHORT,2.446,1,2.46,1,1.707
2021-11-05,NFP,2021-11-05T12:30:00,9.6,CROWDED_SHORT,1.906,1,2.456,1,1.513
2021-11-10,CPI,2021-11-10T13:30:00,13.5,CROWDED_SHORT,2.751,-1,4.027,-1,-2.869
2021-12-03,NFP,2021-12-03T13:30:00,1.9,CROWDED_SHORT,1.738,-1,1.738,1,0.081
2021-12-10,CPI,2021-12-10T13:30:00,13.5,CROWDED_SHORT,1.674,1,2.23,1,1.698
2021-12-15,FOMC,2021-12-15T19:00:00,9.6,CROWDED_SHORT,2.266,1,3.286,1,1.627
2022-01-07,NFP,2022-01-07T13:30:00,25.0,NEUTRAL,2.089,1,2.662,1,2.131
2022-01-12,CPI,2022-01-12T13:30:00,30.8,NEUTRAL,2.681,1,3.81,1,3.626
2022-01-26,FOMC,2022-01-26T19:00:00,44.2,NEUTRAL,2.435,-1,2.97,-1,-1.808
2022-02-04,NFP,2022-02-04T13:30:00,44.2,NEUTRAL,2.054,-1,2.054,-1,-0.888
2022-02-10,CPI,2022-02-10T13:30:00,50.0,NEUTRAL,3.534,1,4.292,1,0.633
2022-03-04,NFP,2022-03-04T13:30:00,65.4,NEUTRAL,2.252,-1,2.252,-1,-1.458
2022-03-10,CPI,2022-03-10T13:30:00,59.6,NEUTRAL,2.631,-1,2.631,-1,-1.023
2022-03-16,FOMC,2022-03-16T18:00:00,36.5,NEUTRAL,2.124,1,2.161,1,0.664
2022-04-01,NFP,2022-04-01T12:30:00,38.5,NEUTRAL,0.805,-1,0.805,-1,-0.017
2022-04-12,CPI,2022-04-12T12:30:00,48.1,NEUTRAL,1.854,-1,2.897,-1,-1.117
2022-05-04,FOMC,2022-05-04T18:00:00,21.2,NEUTRAL,3.345,1,3.47,1,2.3
2022-05-06,NFP,2022-05-06T12:30:00,21.2,NEUTRAL,1.103,1,1.361,-1,-0.41
2022-05-11,CPI,2022-05-11T12:30:00,38.5,NEUTRAL,2.219,-1,2.219,-1,-0.862
2022-06-03,NFP,2022-06-03T12:30:00,80.8,CROWDED_LONG,1.476,-1,1.476,-1,-0.253
2022-06-10,CPI,2022-06-10T12:30:00,80.8,CROWDED_LONG,2.002,-1,2.002,-1,-1.371
2022-06-15,FOMC,2022-06-15T18:00:00,25.0,NEUTRAL,2.348,1,2.456,1,1.597
2022-07-01,NFP,2022-07-01T12:30:00,17.3,CROWDED_SHORT,1.808,-1,1.808,-1,-0.186
2022-07-13,CPI,2022-07-13T12:30:00,1.9,CROWDED_SHORT,2.852,1,2.852,-1,-0.194
2022-07-27,FOMC,2022-07-27T18:00:00,3.8,CROWDED_SHORT,3.043,1,3.043,1,2.454
2022-08-05,NFP,2022-08-05T12:30:00,5.8,CROWDED_SHORT,2.584,-1,2.584,-1,-1.448
2022-08-10,CPI,2022-08-10T12:30:00,7.7,CROWDED_SHORT,3.758,1,3.758,1,1.333
2022-09-02,NFP,2022-09-02T12:30:00,1.9,CROWDED_SHORT,1.366,1,2.241,-1,-0.957
2022-09-13,CPI,2022-09-13T12:30:00,13.5,CROWDED_SHORT,3.29,-1,3.74,-1,-3.639
2022-09-21,FOMC,2022-09-21T18:00:00,82.7,CROWDED_LONG,2.619,-1,2.619,-1,-1.274
